semester_code,course_code,ga,assessment_title,status,rubric_url,notes
7660,MGTS7603,GA1,A1: In-Seminar Case Study (15%),"Built, awaiting coordinator",https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7603/MGTS7603_A1_Rubric_GA1.docx,
7660,MGTS7604,GA5,A3 International Assignment Advisory Pitch,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7604/MGTS7604%20A3%20Pitch.pdf,
7620,TOUR1003,GA3,A2 Stakeholder Meetings and Reflections,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/TOUR1003/TOUR1003%20Ass2%20Stakeholder%20Meeting%20Rubric.pdf,
7620,MGTS7605,GA5,"A2: Evaluate and Design a Performance Management System, Team Report (30%)",Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7605/MGTS7605_Assessment%202_Marking%20Rubric_TEAM%20REPORT.pdf,
7620,MGTS7608,GA6,A2 Individual Stakeholder and Ethics Analysis,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7608/Assessment%202%20rubric%20-%20Individual%20stakeholder%20and%20ethics%20analysis.pdf,
7660,MGTS7609,GA4,Research essay (50%),Identified,,
7620,MGTS7610,GA5,A1 In-semester Exam: Rationale and Business Communication,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7610/AoL%20Assessment%20rubric%20by%20assignment%20MGTS7610.pdf,
7660,MGTS7611,,,TBD,,
7660,MGTS7612,GA2,A2,Active,,
7660,MGTS7612,GA4,A3,Identified,,
7660,BISM2207,GA3,A2 System Development,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/BISM2207/BISM2207%20rubric.pdf,
7660,BISM7206,GA3,A2 Database Design,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/BISM7206/BISM7206%20A2%20Rubric%20S2.pdf,
7620,MGTS7618,GA2,A2: Preparing Your Path Ahead to Wise Leadership,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS7618/MGTS7618_A2_Rubric_GA2.docx,
